type;subject
spam;Tres cupones descuento para ti
spam;¡Sorpresa! Shiseido ya está disponible, ¡aprovéchalo!
spam;¡Oferta online! Precio fijo 24h sin subidas en luz y sin permanencia
inbox;4 semana septiembre plan de redes
inbox;Categorías contenido y fuentes 2
spam;Estamos de REBAJAS ⚡ ¡Solo 72 horas! 
spam;YA-MA-ZA-KI, orden japonés desde 3,99€ | Ofelia Home Decor
spam;Solo queda 1 día
spam;HOY 😍 -10% EXTRA para ti
spam;¡Hasta -85%! Nuestra VENTA DE MUESTRAS
spam;Hola, aquí tienes tu plan semanal 
spam;Giner y Colomer ya a la venta ¡no te lo pierdas!
spam;Último día para 10% + 5% en todos los productos
spam;New Collection | Pre-Spring
spam;Seguimos de... ¡¡FLASH SALES!!
inbox;📣 Nueva sugerencia de grupo: Barcelona Business & Spirituality Hub
spam;Leonisa, Gaston & Hortense, Geographical Norway, Polo Club, Just for Victoria y más hoy en Veepee
spam;Hola su paquete está listo para ser entregado
spam;¡Solo HOY! Lo mejor del día del mueble | Casa nueva: antes y después
spam;This Celeb's Go-To Anti-Aging Supplement
spam;Te espera una comida GRATIS de hasta 30 CAD. ¡Solo pagas las tarifas!
spam;New color Crews, Vs and Long Sleeves are here!
spam;Los profesionales con aptitudes de Bases de datos siguen a estos creadores de contenido
spam;Tú + FITFIU Fitness = planazo de sábado
spam;PETKIT Airsalon Max is ready for you! 💬
spam;¡Últimos días! Ahórrate el 21% de IVA en Electrónica y Electrodomésticos
spam;60% de descuento para aprender inglés 🔝🔝🔝
spam;OUTLET de BÁSICOS hasta -70%
spam;¡Tienes recompensas disponibles! 🧨
spam;Hola, ¡tenemos una sorpresa para ti!
spam;Has leído bien... Estée Lauder ya está disponible, ¡aprovéchalo!
spam;Eres ganador de una entrada del Sorteo Dewalt EXTREME Drill
spam;#SemanaWeb 💻 Exclusiva Online
inbox;Las finanzas digitales y su normativa en 2023
spam;⚡Tu plan Premium tiene un 60% de descuento ⚡
spam;¡CORRE A LAS FLASH SALES!
spam;¿Quieres mimar tu piel?🧼Compra 1 leche hidratante y llévate 1 crema de manos de regalo
spam;¡Última oportunidad -20% para ti!
spam;💡 Nuestro ESPECIAL de iluminación hasta -80%
spam;Felicidades, has ganado un iPhone 14 Pro! 🎉
spam;IT’S BACK!
spam;Hola 🧡 NUEVAS promos para ti
spam;-25% ULTIMO DIA
spam;Yu paquete está listo para ser entregado
spam;¡Samsung Days! Ahorra hasta 400€
spam;Hola, Aquí Encontrarás los Mejores cursos de Cocina Online -13957814-
spam;Ahórrate el 21% de IVA en Electrónica y Electrodomésticos
spam;Cancela tus deudas en menos tiempo, esfuerzo y dinero
spam;¡HOY último día para solicitar tu certificado de donaciones!
spam;⚡ Estamos de REBAJAS ⚡ ¡Solo 72 horas! 
inbox;Qué es y cómo funciona ChatGPT
spam;¿Lista para renovar tu armario? | Rebajas hasta -70% ⚡
spam;Premier ⭐ ICONS by Westwing Collection ⭐ 10 trendsetters 10 ediciones especiales
inbox;Hola, en IKEA, siempre algo nuevo
inbox;El papel de los bancos es fundamental en la transición energética
spam;Últimos días para canjear su 10 % de descuento
spam;Obtén un descuento de hasta 30 CAD antes de que venza
spam;FLASH⚡ Descúbrelas 💖
spam;Hola, rebajas hasta -50% y novedades para ti
inbox;La actividad de Bizum entre los comercios electrónicos clientes de BBVA se multiplica por cuatro en 2022
inbox;Aquest hivern, activa’t! ⛸
spam;-25% LOVE YOURSELF
spam;⚡Tu plan Premium tiene un 60% de descuento ⚡ 
spam;Best Sellers de Rebajas que enamoran | Hasta -70% ❤️
inbox;Salvemos a este gorila encarcelado 🦍
spam;SALE ⏰ ¡Últimos días!
spam;¿sabes que tienes un nuevo vale de descuento para producto fresco?
spam;a mejor tecnología a precio de OUTLET
spam;¡Sorpresa! Segarra ya está disponible, ¡aprovéchalo!
inbox;Descarga nuestro Ebook y aprende las lecciones más valiosas para principiantes
inbox;Un millón de euros para 23 proyectos solidarios
spam;⚡ Estamos de REBAJAS ⚡ ¡Solo 72 horas!
spam;Factura Electrónica - 897139
spam;💥Descuentazo en TODO parafarmacia*
spam;Burrito Blanco ya a la venta ¡no te lo pierdas!
spam;Segundas rebajas | Hasta -70% ⚡
spam;Hasta -70% | Hoy, el gran DÍA
spam;3 semanas de REBAJAS – ¡Última semana!
spam;Hola, sigue a estos creadores de contenido en función de tu actividad reciente
spam;¡OPORTUNIDAD! 60% de descuento en tu suscripción Premium
spam;¿Ola de frío? SÚPER PRECIOS para entrar en calor
inbox;¡Salva al pingüino 🐧 : el gran superviviente de la Antártida! 
spam;Has leído bien... Christian Lacroix ya está disponible, ¡aprovéchalo! 
spam;💥NUEVAS promos para ti
inbox;Europa no puede quedarse atrás y tiene que fomentar las inversiones en descarbonización
spam;¡Última llamada! Disfruta tu -18%
spam;Up to 40% OFF ⏰SALES Collection
spam;Hola, aprovecha el Summer Sale: 30% OFF en tu alarma antirrobo
spam;Re: Hemos estado tratando de comunicarnos con usted. ¡Por favor responda!
spam;¡Has sido seleccionado!
inbox;'Tokenise Europe 2025', un llamamiento a digitalizar la economía
inbox;Estrategias avanzadas de negocios, marketing digital y desarrollo personal
spam;¡Tenemos una sorpresa para nuestros compradores!
spam;¡Exclusiva! 💣 | Archive Sale de invierno
spam;¡Ya están aquí! Tendencias que marcarán 2023
spam;Descarga nuestro Ebook y aprende las lecciones más valiosas para principiantes
inbox;Banco de Crédito BCP está buscando personal: Data Scientist - Machine Learning
inbox;Cómo se reparten las emisiones de gases de efecto invernadero en España
spam;Hasta -30% ✨¡Más y más OUTLET!
spam;60% de descuento para aprender inglés
spam;Recuerda solicitar tu entrada profesional gratis
spam;Su notificación de paquete 🕒
spam;𝐅𝐞𝐥𝐢𝐜𝐢𝐝𝐚𝐝𝐞𝐬, has ganado un iPhone 14 Pro! 🎉
spam;aprovechá la venta directa de fábrica. Financiación hasta el 60% en 24 cuotas fijas
spam;su paquete📦 está listo para ser entregado
spam;¡Te echamos de menos!
spam;Securitas Direct: la alarma Nº1 que protegerá tu casa este invierno
spam;Promover la quema de grasa y un peso saludable
spam;¿Cuánto mayor ha sido el trauma a superar, mayor es el éxito que somos capaces de alcanzar?
inbox;BBVA, Top Employer 2023 en España
spam;Un cupón promocional especial para darte la bienvenida
spam;SEGUNDAS REBAJAS | Hasta -70% 💣
inbox;Ayúdanos a mejorar. Tu opinión es importante para nosotros
inbox;Falta tu firma por la sanidad pública
inbox;Si tienes soluciones innovadoras presenta tu proyecto
spam;El descuento de hasta 30 CAD no durará por siempre
spam;Hasta -30% en las SEMANAS OUTLET
spam;¡Sorpresa! Cosmopolitan Design ya está disponible, ¡aprovéchalo! 
inbox;"Carlos Torres Vila: ""En 2023, BBVA seguirá creciendo y creando oportunidades para todos"
spam;HASTA -50% EN TUS FAVORITOS
spam;¡Mejora tu Blue Monday! 💙 Solo hoy -20%
spam;Sheridan: ropa de cama hasta -60%
spam;Shopping night hasta -85% ¡Solo hasta medianoche!
spam;"𝐋𝐞𝐫𝐨𝐲 𝐭𝐞 𝐫𝐞𝐠𝐚𝐥𝐚 𝐮𝐧 ""𝐌𝐚𝐤𝐢𝐭𝐚 𝐏𝐨𝐰𝐞𝐫 𝐃𝐫𝐢𝐥𝐥""...~ Confirmar recibo!"
spam;Scholl ya a la venta ¡no te lo pierdas!
inbox;El invitado que evitará tu “negocio muerto”
